user_id,group_id,type,time
14719,37689,fit,2023-06-19 12:55:10
14719,37689,fit,2023-06-19 12:57:39
14719,37884,pop,2023-06-19 13:07:18
14719,37911,pop,2023-06-19 13:14:06
14719,39009,pop,2023-06-20 00:11:59
14719,39009,fit,2023-06-20 00:23:06
14719,39009,fit,2023-06-20 00:23:06
14719,39009,fit,2023-06-20 00:23:06
14719,39247,pop,2023-06-20 09:42:28
14719,39247,fit,2023-06-20 09:50:49
14719,39247,fit,2023-06-20 09:54:49
14719,39247,fit,2023-06-20 09:55:16
14719,39247,fit,2023-06-20 11:33:39
14719,39426,pop,2023-06-20 13:16:39
14719,39871,pop,2023-06-20 17:50:31
14719,39904,pop,2023-06-20 18:01:23
14719,39939,pop,2023-06-20 18:17:35
14719,40232,pop,2023-06-20 21:12:39
14719,40574,pop,2023-06-20 23:35:12
14713,35786,pop,2023-06-14 13:11:01
14713,39316,fit,2023-06-20 11:33:56
14713,39316,fit,2023-06-20 12:02:34
14713,40071,pop,2023-06-20 19:31:15
14713,40582,pop,2023-06-20 23:40:41
14713,40584,2023-06-20 23:42:03
14672,35745,pop,2023-06-14 12:50:49
14672,39333,pop,2023-06-20 11:44:27
14672,39380,pop,2023-06-20 12:34:07
14672,39380,fit,2023-06-20 12:38:00
14672,39380,fit,2023-06-20 12:41:08
14672,39380,fit,2023-06-20 12:41:24
14672,39380,fit,2023-06-20 12:41:27
14672,39380,fit,2023-06-20 12:41:33
14672,39380,fit,2023-06-20 12:41:53
14672,39391,pop,2023-06-20 12:54:21
14672,40450,pop,2023-06-20 22:35:32
14800,35873,pop,2023-06-14 14:08:08
14800,39438,pop,2023-06-20 13:38:55
14800,39438,pop,2023-06-20 13:40:11
14800,40293,2023-06-20 21:43:19
14889,35956,pop,2023-06-14 15:58:08
14889,37207,fit,2023-06-16 16:12:26
14889,39494,pop,2023-06-20 14:48:23
14889,39494,fit,2023-06-20 14:51:00
14889,40709,pop,2023-06-21 14:22:30
14899,35966,pop,2023-06-14 16:01:14
14899,37206,pop,2023-06-16 15:57:41
14899,37206,fit,2023-06-16 15:58:54
14899,39510,fit,2023-06-20 15:03:45
14899,39510,sim,2023-06-20 15:04:01
14899,39510,fit,2023-06-20 15:05:32
14699,35772,pop,2023-06-14 13:05:06
14699,37972,pop,2023-06-19 13:21:23
14699,39552,pop,2023-06-20 15:15:35
14692,35765,pop,2023-06-14 13:01:38
14692,38015,pop,2023-06-19 13:26:08
14692,38038,pop,2023-06-19 13:36:14
14692,38156,pop,2023-06-19 14:06:44
14692,38182,pop,2023-06-19 14:21:37
14692,38189,pop,2023-06-19 14:25:30
14692,38189,fit,2023-06-19 14:29:20
14692,38189,fit,2023-06-19 14:31:35
14692,38189,pop,2023-06-19 14:41:52
14692,38240,pop,2023-06-19 14:43:34
14692,38240,pop,2023-06-19 14:43:40
14692,38247,pop,2023-06-19 14:44:06
14692,38247,fit,2023-06-19 14:46:04
14692,38247,fit,2023-06-19 14:50:51
14692,38247,fit,2023-06-19 14:50:55
14692,38247,fit,2023-06-19 14:51:50
14692,38247,fit,2023-06-19 14:52:14
14692,38247,fit,2023-06-19 14:52:40
14692,38247,fit,2023-06-19 14:53:09
14692,38247,fit,2023-06-19 14:53:22
14692,38856,pop,2023-06-19 22:10:49
14692,38857,pop,2023-06-19 22:11:11
14692,38857,fit,2023-06-19 22:19:42
14692,39334,pop,2023-06-20 11:47:33
14692,39338,pop,2023-06-20 11:51:20
14692,39425,pop,2023-06-20 13:14:31
14692,39425,pop,2023-06-20 13:14:31
14692,38318,fit,2023-06-20 15:22:19
14692,38318,fit,2023-06-20 15:26:10
14692,38318,fit,2023-06-20 15:26:26
14692,39596,fit,2023-06-20 15:34:01
14692,40057,pop,2023-06-20 19:24:02
14658,35731,pop,2023-06-14 12:43:39
14658,36932,pop,2023-06-16 10:39:32
14658,37045,pop,2023-06-16 12:36:43
14658,37216,pop,2023-06-16 18:44:33
14658,37260,pop,2023-06-17 18:27:24
14658,37618,pop,2023-06-19 12:24:59
14658,38133,pop,2023-06-19 13:57:55
14658,38149,pop,2023-06-19 14:03:38
14658,38149,pop,2023-06-19 14:03:41
14658,38236,pop,2023-06-19 14:40:01
14658,38246,pop,2023-06-19 14:43:59
14658,38776,pop,2023-06-19 21:19:41
14658,38778,pop,2023-06-19 21:20:32
14658,39387,pop,2023-06-20 12:47:04
14658,39467,pop,2023-06-20 14:12:26
14658,39467,pop,2023-06-20 14:15:51
14658,39473,pop,2023-06-20 14:20:08
14658,39477,pop,2023-06-20 14:26:37
14658,39477,pop,2023-06-20 14:33:47
14658,39484,pop,2023-06-20 14:34:03
14658,39498,pop,2023-06-20 14:51:00
14658,39498,fit,2023-06-20 15:03:56
