"id","group_id","restaurant_id","ts"
463,39180,5,"2023-06-20 07:28:21"
464,39183,5,"2023-06-20 07:37:46"
465,39194,5,"2023-06-20 07:47:13"
466,39201,18,"2023-06-20 07:48:03"
467,39229,26,"2023-06-20 09:19:21"
468,39237,32,"2023-06-20 09:28:09"
469,39234,25,"2023-06-20 09:29:24"
470,39243,5,"2023-06-20 09:34:43"
471,39243,5,"2023-06-20 09:35:33"
472,39254,29,"2023-06-20 10:09:16"
473,39254,29,"2023-06-20 10:10:04"
474,39262,3,"2023-06-20 10:20:45"
475,39262,3,"2023-06-20 10:21:04"
476,39262,3,"2023-06-20 10:21:22"
477,39275,5,"2023-06-20 10:41:49"
478,39273,5,"2023-06-20 10:43:27"
479,39276,29,"2023-06-20 10:49:52"
480,39283,24,"2023-06-20 10:50:21"
481,39276,29,"2023-06-20 10:50:51"
482,39285,5,"2023-06-20 11:07:05"
483,39310,5,"2023-06-20 11:15:45"
484,39323,5,"2023-06-20 11:45:57"
485,39323,5,"2023-06-20 11:46:25"
486,39323,5,"2023-06-20 11:54:40"
487,39323,5,"2023-06-20 11:55:58"
488,39323,5,"2023-06-20 11:56:21"
489,39339,29,"2023-06-20 11:58:26"
490,39247,4,"2023-06-20 12:00:40"
491,39316,18,"2023-06-20 12:04:21"
492,39358,22,"2023-06-20 12:19:46"
493,39342,5,"2023-06-20 12:22:08"
494,39380,18,"2023-06-20 12:43:18"
495,39383,18,"2023-06-20 12:45:50"
496,39438,5,"2023-06-20 13:39:46"
497,39437,29,"2023-06-20 13:42:00"
498,39441,25,"2023-06-20 13:42:26"
499,39441,25,"2023-06-20 13:47:18"
500,39448,5,"2023-06-20 13:54:05"
501,39463,32,"2023-06-20 14:15:49"
502,39466,18,"2023-06-20 14:30:34"
503,39478,9,"2023-06-20 14:33:41"
504,39494,26,"2023-06-20 14:53:34"
505,39487,29,"2023-06-20 15:00:28"
506,39530,5,"2023-06-20 15:05:47"
507,39510,18,"2023-06-20 15:08:12"
508,39552,29,"2023-06-20 15:16:17"
509,39596,5,"2023-06-20 15:36:19"
510,39562,22,"2023-06-20 15:37:51"
511,39627,24,"2023-06-20 15:58:14"
512,39635,29,"2023-06-20 16:02:46"
513,39635,5,"2023-06-20 16:03:17"
514,39635,29,"2023-06-20 16:04:17"
515,39697,29,"2023-06-20 16:22:12"
516,39700,29,"2023-06-20 16:23:11"
517,39702,32,"2023-06-20 16:25:11"
518,39690,5,"2023-06-20 16:26:27"
519,39706,4,"2023-06-20 16:30:33"
520,39720,28,"2023-06-20 16:35:21"
521,39681,26,"2023-06-20 16:40:31"
522,39690,5,"2023-06-20 16:40:41"
523,39713,18,"2023-06-20 16:40:44"
524,39734,29,"2023-06-20 16:40:57"
525,39734,29,"2023-06-20 16:41:31"
526,39734,5,"2023-06-20 16:41:44"
527,39734,29,"2023-06-20 16:42:17"
528,39734,5,"2023-06-20 16:42:36"
529,39744,18,"2023-06-20 16:53:04"
530,39757,22,"2023-06-20 17:05:57"
531,39788,5,"2023-06-20 17:07:58"
532,39768,22,"2023-06-20 17:21:32"
533,39784,5,"2023-06-20 17:25:28"
534,39779,5,"2023-06-20 17:27:04"
535,39846,29,"2023-06-20 17:42:19"
536,39866,5,"2023-06-20 17:53:18"
537,39346,29,"2023-06-20 17:59:59"
538,39890,10,"2023-06-20 18:01:20"
539,39912,15,"2023-06-20 18:23:00"
540,39945,5,"2023-06-20 18:26:58"
541,39957,18,"2023-06-20 18:32:40"
542,39969,29,"2023-06-20 18:33:18"
543,39969,5,"2023-06-20 18:34:30"
544,39969,29,"2023-06-20 18:36:11"
545,39965,26,"2023-06-20 18:38:34"
546,39947,5,"2023-06-20 18:45:29"
547,40006,5,"2023-06-20 19:02:45"
548,40015,5,"2023-06-20 19:08:59"
549,40032,18,"2023-06-20 19:10:47"
550,40025,29,"2023-06-20 19:12:46"
551,40044,24,"2023-06-20 19:22:59"
552,40039,5,"2023-06-20 19:24:04"
553,39973,29,"2023-06-20 19:26:45"
554,40024,25,"2023-06-20 19:29:21"
555,40079,29,"2023-06-20 19:38:22"
556,40094,29,"2023-06-20 19:43:11"
557,40071,29,"2023-06-20 19:44:57"
558,40104,18,"2023-06-20 19:49:13"
559,40142,5,"2023-06-20 20:11:33"
560,40149,18,"2023-06-20 20:22:38"
561,40183,18,"2023-06-20 20:58:11"
562,40183,18,"2023-06-20 20:59:25"
563,40225,32,"2023-06-20 21:09:48"
564,40243,32,"2023-06-20 21:33:38"
565,40273,32,"2023-06-20 21:44:47"
566,40343,29,"2023-06-20 21:53:41"
567,40340,4,"2023-06-20 21:59:02"
568,40362,29,"2023-06-20 21:59:05"
569,40362,29,"2023-06-20 21:59:18"
570,40362,29,"2023-06-20 22:00:06"
571,40370,29,"2023-06-20 22:00:56"
572,40371,17,"2023-06-20 22:06:39"
573,40368,5,"2023-06-20 22:11:37"
574,40391,29,"2023-06-20 22:17:46"
575,40401,22,"2023-06-20 22:20:13"
576,40437,29,"2023-06-20 22:31:12"
577,40412,18,"2023-06-20 22:32:16"
578,40412,18,"2023-06-20 22:34:06"
579,40448,29,"2023-06-20 22:35:36"
