,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14734,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14743,Female,Bosnia,18,0,0,1,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT']"
0,14743,Female,Bosnia,18,0,0,1,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT']"
0,14773,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14773,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14773,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14773,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14695,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'BURGER']"
0,14695,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'BURGER']"
0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14702,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'SALAD', 'PASTA']"
0,14701,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14701,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14701,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14701,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA', 'SALAD', 'PASTA']"
0,14703,Female,Bosnia,20,0,0,0,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
0,14703,Female,Bosnia,20,0,0,0,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
0,14688,Male,Italy,19,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14688,Male,Italy,19,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14751,Male,Germany,18,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
0,14751,Male,Germany,18,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
0,14756,Female,Serbia,23,0,0,1,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'RICE']"
0,14756,Female,Serbia,23,0,0,1,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'RICE']"
0,14709,Female,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'PASTA']"
0,14709,Female,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'PASTA']"
0,14709,Female,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'PASTA']"
0,14708,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
0,14708,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
0,14648,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
0,14648,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
0,14661,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14661,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14763,Female,Bosnia,19,1,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
0,14763,Female,Bosnia,19,1,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
0,14775,Male,Bosnia,20,0,0,0,0,1,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14775,Male,Bosnia,20,0,0,0,0,1,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14675,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['FISH', 'RED MEAT', 'SALAD']"
0,14675,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['FISH', 'RED MEAT', 'SALAD']"
0,14675,Male,Bosnia,19,1,0,0,1,0,0,1,0,0,1,0,"['FISH', 'RED MEAT', 'SALAD']"
0,14793,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'SALAD']"
0,14793,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'SALAD']"
0,14755,Male,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
0,14755,Male,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['RICE', 'PASTA']"
0,14754,Female,Austria,27,1,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'SALAD']"
0,14754,Female,Austria,27,1,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'SALAD']"
0,14754,Female,Austria,27,1,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'SALAD']"
0,14788,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14788,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14798,Female,Bosnia,19,0,0,1,0,0,0,0,0,0,0,1,"['FISH', 'RICE']"
0,14798,Female,Bosnia,19,0,0,1,0,0,0,0,0,0,0,1,"['FISH', 'RICE']"
0,14718,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'PIZZA']"
0,14718,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'PIZZA']"
0,14718,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'FISH', 'PIZZA']"
0,14907,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
0,14907,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
0,14693,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA', 'SALAD']"
0,14693,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA', 'SALAD']"
0,14693,Female,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA', 'SALAD']"
0,14719,Male,Bosnia,22,0,0,0,1,0,1,0,0,0,0,0,['PIZZA']
0,14679,Female,Bosnia,19,0,1,1,1,1,0,0,0,0,1,0,"['RICE', 'CHINESE NOODLE']"
0,14679,Female,Bosnia,19,0,1,1,1,1,0,0,0,0,1,0,"['RICE', 'CHINESE NOODLE']"
0,14668,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
0,14668,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
