,Unnamed: 0,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
407,0,14799,Male,Bosnia,19,1,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'SALAD']"
409,0,14674,Male,Bosnia,19,1,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'SALAD']"
413,0,14911,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
415,0,14927,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'PIZZA']"
417,0,14687,Male,Bosnia,21,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA']"
419,0,14746,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PASTA']"
421,0,14663,Female,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PASTA']"
423,0,14758,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,0,0,"['FISH', 'SALAD']"
425,0,14650,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,0,0,"['FISH', 'SALAD']"
427,0,14664,Male,Bosnia,19,1,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
429,0,14641,Male,Bosnia,20,1,1,0,0,0,0,0,0,0,1,0,"['RED MEAT', 'SOUP', 'PIZZA', 'SALAD', 'BURGER', 'PASTA']"
435,0,14747,Male,Bosnia,19,1,0,0,1,1,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
437,0,14737,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
439,0,14778,Male,Bosnia,20,1,0,1,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'SALAD', 'BURGER', 'PASTA']"
444,0,14721,Male,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['SALAD', 'BURGER']"
446,0,14806,Male,Bosnia,20,0,0,0,0,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
448,0,14711,Male,Bosnia,25,0,0,0,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
450,0,14685,Male,Italy,20,0,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT']"
453,0,14651,Male,Bosnia,20,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'RICE', 'PASTA']"
457,0,14794,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
459,0,14665,Male,Bosnia,21,0,0,0,1,0,0,0,1,0,1,0,"['PIZZA', 'PASTA']"
461,0,14733,Male,Bosnia,20,1,0,0,1,0,0,0,0,0,0,0,"['RED MEAT', 'PIZZA', 'RICE', 'PASTA']"
469,0,14722,Male,Bosnia,21,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA']"
471,0,14658,Female,Bosnia,21,0,0,0,1,0,1,1,0,0,1,0,"['FISH', 'PIZZA', 'BURGER', 'PASTA']"
479,0,14731,Male,Bosnia,21,1,1,0,1,0,0,0,0,0,0,0,"['BURGER', 'PASTA']"
481,0,14802,Male,Bosnia,21,0,0,0,1,0,0,0,1,0,1,0,"['RED MEAT', 'PIZZA', 'BURGER', 'PASTA']"
485,0,14694,Male,Bosnia,20,0,0,0,0,0,0,0,0,1,1,0,"['RED MEAT', 'BURGER']"
487,0,14930,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER', 'PASTA']"
490,0,14800,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,1,0,"['FISH', 'PIZZA']"
492,0,14884,Male,Bosnia,20,0,0,0,0,0,0,0,1,1,1,0,"['SOUP', 'PIZZA', 'SALAD', 'BURGER']"
496,0,14807,Male,Bosnia,20,0,0,0,1,0,0,0,0,0,0,0,"['WHITE MEAT', 'PIZZA']"
498,0,14716,Male,Bosnia,19,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'PASTA']"
500,0,14680,Female,Serbia,36,0,0,0,1,1,0,0,0,0,0,0,"['CHINESE NOODLE', 'BURGER']"
502,0,14732,Female,Serbia,36,0,0,0,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'SALAD']"
504,0,14686,Male,Italy,33,1,0,0,1,1,0,1,1,1,1,0,"['PIZZA', 'BURGER']"
506,0,14697,Male,Iran,32,0,0,0,1,0,1,0,0,0,1,0,"['PIZZA', 'BURGER']"
508,0,14790,Male,Italy,19,0,0,0,1,1,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'PASTA']"
513,0,14735,Male,Italy,33,1,0,0,1,0,0,1,1,1,1,0,"['PIZZA', 'PASTA']"
515,0,14749,Male,Italy,32,0,0,0,1,0,0,0,1,0,1,0,"['PIZZA', 'BURGER']"
517,0,14909,Male,Italy,27,0,0,0,1,0,0,0,1,0,1,0,"['PIZZA', 'BURGER', 'PASTA']"
520,0,14935,Female,Iran,37,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER', 'PASTA']"
523,0,14748,Male,Russian,32,0,0,1,1,1,0,0,0,0,0,0,"['FISH', 'RED MEAT', 'SALAD']"
526,0,14899,Male,Pakistan,28,0,1,0,0,0,1,0,1,0,0,0,"['CHINESE NOODLE', 'BURGER']"
528,0,14889,Male,Russian,27,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'SOUP']"
530,0,14699,Female,Bosnia,35,1,1,1,1,0,0,0,0,0,0,1,"['CHINESE NOODLE', 'PASTA']"
534,0,14797,Male,Italy,32,0,0,1,0,0,0,0,0,0,0,0,"['FISH', 'CHINESE NOODLE']"
536,0,20672,Male,Bosnia and Herzegovina,20,0,0,0,1,0,0,1,0,0,0,0,"['RED MEAT', 'PASTA']"
540,0,20735,Female,Iran,41,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE', 'BURGER']"
548,0,20734,Female,Italy,38,0,0,0,0,0,0,0,0,0,1,1,"['SOUP', 'SALAD']"
552,0,20739,Male,Iran,34,0,0,0,1,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
554,0,20738,Male,Lebanon,25,0,0,1,1,0,0,1,1,0,0,0,"['PIZZA', 'RICE', 'PASTA']"
557,0,20769,Male,Iran,35,0,0,0,0,0,0,0,0,0,1,0,['BURGER']
558,0,20770,Male,Lebanon,27,0,0,0,0,0,0,0,1,0,0,0,"['RED MEAT', 'BURGER', 'PASTA']"
561,0,20767,Female,Iran,38,0,0,0,0,0,0,0,0,0,1,1,"['SOUP', 'SALAD']"
563,0,20771,Female,Iran,41,0,0,0,1,0,0,0,0,0,1,0,"['RED MEAT', 'PIZZA', 'RICE']"
569,0,20789,Male,Algeria,29,1,0,0,1,0,0,0,0,0,0,0,"['FISH', 'RICE']"
571,0,20788,Male,Russian,26,0,0,1,1,0,0,0,0,0,0,1,"['FISH', 'RED MEAT', 'BURGER']"
574,0,20797,Female,Germany,29,0,0,0,0,0,0,0,0,0,1,0,"['FISH', 'RED MEAT']"
576,0,20798,Male,Russian,32,0,0,1,0,1,0,0,0,0,0,0,"['FISH', 'SOUP', 'SALAD']"
